city,district,neighbourhood,room,living_room,size,age,floor,price
İzmir , Buca , Adatepe Mah.,1,1,62,3,2,1275000
İzmir , Menderes , Gümüldür Atatürk Mah.,2,1,202,3,0,3250000
İzmir , Menemen , 85. Yıl Cumhuriyet Mah.,2,1,70,0,2,2450000
İzmir , Çiğli , Balatçık Mah.,2,1,75,5,1,3100000
İzmir , Ödemiş , Cumhuriyet Mah.,3,1,161,7,2,3500000
İzmir , Konak , Zafertepe Mah.,2,1,85,0,1,3200000
İzmir , Konak , Zafertepe Mah.,3,1,115,1,1,3500000
İzmir , Seferihisar , Turabiye Mah.,2,1,120,4,4,3650000
İzmir , Seferihisar , Mersin Alanı Mah.,2,1,80,10,3,4000000
İzmir , Konak , Barbaros Mah.,2,1,85,31,-1,3650000
İzmir , Buca , Kuruçeşme Mah.,1,1,50,4,1,1887000
İzmir , Buca , Barış Mah.,3,1,155,23,6,2890000
İzmir , Seferihisar , Cumhuriyet Mah.,1,1,80,3,3,2950000
İzmir , Balçova , Fevzi Çakmak Mah.,3,1,135,30,2,4650000
İzmir , Karabağlar , Vatan Mah.,2,1,112,0,9,3300000
İzmir , Buca , Adatepe Mah.,1,1,65,5,1,2200000
İzmir , Karabağlar , Metin Oktay Mah.,2,1,100,31,2,2850000
İzmir , Karabağlar , Muammer Akar Mah.,3,1,110,31,1,3850000
İzmir , Karabağlar , Basın Sitesi Mah.,3,1,150,35,1,5750000
İzmir , Menderes , Orta Mah.,3,1,115,0,0,6250000
İzmir , Ödemiş , Bengisu Mah.,2,1,100,16,2,2600000
İzmir , Çiğli , Küçük Çiğli Mah.,2,1,80,7,1,2500000
İzmir , Buca , Akıncılar Mah.,3,1,140,26,4,4500000
İzmir , Karabağlar , Esenlik Mah.,3,1,145,20,4,3300000
İzmir , Dikili , Salimbey Mah.,2,1,80,15,1,2650000
İzmir , Menemen , İnönü Mah.,1,1,56,3,1,2550000
İzmir , Konak , Kılıç Reis Mah.,2,1,90,31,1,3199000
İzmir , Konak , Kılıç Reis Mah.,2,1,90,31,1,3199000
İzmir , Menderes , Orta Mah.,3,1,140,20,0,7250000
İzmir , Karabağlar , Gülyaka Mah.,3,1,100,4,1,3320000
İzmir , Kemalpaşa , Atatürk Mah.,3,1,130,30,4,3500000
İzmir , Buca , Atatürk Mah.,1,1,47,5,3,2200000
İzmir , Buca , Kuruçeşme Mah.,2,1,60,5,2,2580000
İzmir , Buca , Kuruçeşme Mah.,1,1,48,4,2,2500000
İzmir , Buca , Buca Koop. Mah.,3,1,145,11,2,6250000
İzmir , Karşıyaka , Dedebaşı Mah.,2,1,87,5,1,3950000
İzmir , Çiğli , Yakakent Mah.,3,1,140,13,0,3250000
İzmir , Menemen , Ulus Mah.,4,1,180,0,4,5500000
İzmir , Buca , Buca Koop. Mah.,3,1,120,25,3,3850000
İzmir , Dikili , İsmetpaşa Mah.,2,1,75,4,1,2850000
İzmir , Bornova , Erzene Mah.,3,1,150,25,5,4250000
İzmir , Konak , Barbaros Mah.,3,1,115,30,1,2600000
İzmir , Karşıyaka , Bahçelievler Mah.,2,1,85,30,-1,3100000
İzmir , Karşıyaka , Goncalar Mah.,2,1,95,15,4,4300000
İzmir , Karabağlar , Bahçelievler Mah.,2,1,110,35,-2,4000000
İzmir , Menderes , Gümüldür Fevzi Çakmak Mah.,2,1,90,8,2,4000000
İzmir , Konak , Murat Reis Mah.,3,1,100,31,2,3250000
İzmir , Menderes , Orta Mah.,4,1,190,16,0,4950000
İzmir , Menderes , Çukuraltı Mah.,3,1,140,21,0,6750000
